Parcel ID,Address,Ward,Neigh,AssN,Usage,Description,Value *,BldgSF,Front,Side1,LotSF,Add#,Street Name
36560003000,4051 Cote Brilliante Av,4,56,309,Residential,1 Story Brick Residence,,768.0,36.0,116.24,4079.0,4051,Cote Brilliante
36570000200,4050-2 Cote Brilliante Av,4,56,309,Residential,2 Story Brick Four Family Flat **,,3832.0,42.0,116.16,5334.0,4050,Cote Brilliante
36570000400,4046 Cote Brilliante Av,4,56,309,Residential,2 Story Brick Two Family Flat,,2172.0,25.0,116.16,3018.0,4046,Cote Brilliante
36580001500,4024 Aldine Av,4,56,309,Residential,2 Story Brick Residence,,1632.0,25.0,117.0,2925.0,4024,Aldine
36590001700,1512-8 Belle Glade Av,4,57,309,Residential,2 Story Brick Four Family Flat,,,76.5,114.25,8740.0,1512,Belle Glade
36610000900,1722 Whittier St,4,57,309,Residential,2.5 Story Brick Residence,,1496.0,25.0,134.66,4008.0,1722,Whittier
36610003100,1715 Belle Glade Av,4,57,309,Residential,2 Story Brick Residence,,1848.0,22.0,134.5,3412.0,1715,Belle Glade
36610003200,1713 Belle Glade Av,4,57,309,Residential,1 Story Brick Residence **,,854.0,25.0,134.66,3753.0,1713,Belle Glade
36630000700,1920 Belle Glade Av,4,57,309,Residential,1/2 of a 2 Story Brick Four Family Flat,,1932.0,24.0,106.5,2489.0,1920,Belle Glade
36630000800,1922 Belle Glade Av,4,57,309,Residential,2 Story Brick Four Family Flat,,1932.0,24.0,106.33,2655.0,1922,Belle Glade
36640003100,1909 Belle Glade Av,4,57,309,Residential,2 Story Brick Residence **,,1448.0,54.16,119.25,5819.0,1909,Belle Glade
36660001300,2604 Belle Glade Av,4,57,309,Residential,2 Story Brick Residence,,1648.0,25.0,134.0,3367.08,2604,Belle Glade
36660001500,2610 Belle Glade Av,4,57,309,Residential,1 Story Frame Residence,,857.0,25.0,134.66,3367.0,2610,Belle Glade
36790000600,4224 Garfield Av,4,57,309,Residential,1 Story Brick Residence,,612.0,25.0,132.0,3434.0,4224,Garfield
36800001600,4205 Aldine Av,4,57,309,Residential,1 Story Brick Residence,,938.0,28.16,132.0,3760.0,4205,Aldine
36800001700,4207 Aldine Av,4,57,309,Residential,1 Story Brick Residence,,938.0,28.0,132.0,4362.0,4207,Aldine
36800001800,4211 Aldine Av,4,57,309,Residential,1 Story Brick Residence,,969.0,25.0,132.0,3076.0,4211,Aldine
36800002400,4233-5 Aldine Av,4,57,309,Residential,2 Story Frame Two Family Flat,,1848.0,50.0,132.0,6362.0,4233,Aldine
36810001000,4216 Aldine Av,4,57,309,Residential,1 Story Brick Residence,,923.0,25.0,85.0,2141.0,4216,Aldine
36810001300,4210 Aldine Av,4,57,309,Residential,1 Story Brick Residence,,930.0,50.0,85.42,4673.0,4210,Aldine
